image_path,overall_grade,centering,corners,edges,surface
data\raw_slabs\ebay_318018867878.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117098794492.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327052576183.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327052486641.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287210387114.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117077555740.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_206136113460.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327032568231.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187567194970.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127615691246.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198187328542.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_225677644505.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327045714344.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227231508942.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327044837360.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267542136532.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327043297978.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327042231542.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317992401125.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177943331099.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226764285714.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287008753230.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327040136477.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327039770073.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327038741062.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786204864.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786201184.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786198642.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786172185.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786163659.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786133070.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277786128938.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287182392196.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277785998420.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277785994020.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277785961290.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257078674323.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327038045763.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_266262671203.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_224580501033.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287179697079.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187600027680.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187571684532.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317972902225.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287179646386.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287081978852.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_167877714038.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366152763721.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267597051093.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198013479300.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157420905836.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227246602873.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_256927745930.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267596820331.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187839370997.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287177541337.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117072039686.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117071964963.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147187165324.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389704178084.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287185765026.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317672424202.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327028909899.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317941059900.webp,1,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397773300443.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_357555532054.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_357426003605.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397394346283.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_297383176870.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_358394192114.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257447399662.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257447398278.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406824219196.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_165938099058.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406817657854.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147239636205.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226959805515.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267437908878.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389824496415.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_318079809770.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_377072837927.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317874000346.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_188230961366.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287232988583.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227217292740.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157732776331.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_358320672930.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_126897597341.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_168284526481.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389681817768.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227214391140.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227254863516.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127788094994.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397752429502.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397586457156.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_327072266954.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_236729620880.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_336496736936.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406781148814.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226881209352.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257434319559.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406792719508.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_188213989325.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117111976059.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_318031974180.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_188191874784.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397676229812.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147222133098.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_206163011039.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389767200527.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287081971553.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389795438724.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_298089678983.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_326478531114.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389731192444.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389762410612.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_168256827032.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_116844408054.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127749736116.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_358355702725.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177969519364.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389754918254.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117077555740.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157772693649.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_365397253338.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227092679100.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_168153118145.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198187329487.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_365336487745.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277617926111.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_336466463268.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406745643912.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_336466453274.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_188109668655.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287196126479.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389723051951.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287184463629.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317908378251.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_168232562888.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157753497337.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277749502236.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198161286015.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406721604032.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287191723841.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198013479300.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287184851047.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177943877516.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117072039686.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157540227750.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_358295066522.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147179350493.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_136849093247.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_236660714231.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389701101234.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177923825047.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287173171368.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127712706237.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389682960383.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389675454383.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389548914514.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_137070922796.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317434432496.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_365698595583.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177918392243.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_126622122047.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_358260358358.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227238286955.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287161861332.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406684645780.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_236657386809.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227232119662.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389521977878.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406684663532.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_137047656350.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406687836470.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157690395104.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_236489092498.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_188088034860.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389662243096.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_176921730275.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406684698259.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287155824750.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257145760862.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267582256969.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257202876517.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257203564507.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257203564590.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_334873778386.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287149717269.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127453275688.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187798796039.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_335755451477.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147129447357.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_114801635002.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157215754527.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287143647095.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_168150314223.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_336277254474.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287132941658.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227211870630.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157678970484.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287138719914.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_298006872898.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389530019464.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397601856018.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_297532716421.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406651523182.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397554298638.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406684634621.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_326994271324.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287130815525.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397586274155.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287128865479.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287106445263.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227194950056.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_117015582308.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287124495070.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_297984260323.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366162505966.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287122363163.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317822110265.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287118092658.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_297962153645.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227178290652.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187990724495.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157644510074.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317714877547.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_297941382690.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389407426462.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_116992638413.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157624439705.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_236592416260.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_168085866015.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227178287871.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_136925313782.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317777750873.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287039202460.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198025678100.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397507302297.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366128881500.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317769545209.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_297921887967.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317765995340.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_317765967928.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257202876517.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257203564507.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257203564590.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_334873778386.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287149717269.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127453275688.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187798796039.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_335755451477.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147129447357.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_114801635002.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157215754527.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287143647095.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_168150314223.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_336277254474.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287132941658.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227211870630.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157678970484.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287138719914.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_298006872898.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389530019464.webp,2,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227229671882.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_306869573372.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_357555532054.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_357426003605.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397394346283.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_306528338321.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_297383176870.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157511696244.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406824219196.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_298105217717.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_236556979963.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257444905299.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_205369040929.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257444569921.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287257488116.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257446300295.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_336446303798.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_358392402826.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277870751550.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257172152045.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226971177744.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147225671683.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_127043944644.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366315203894.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_205614033516.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_114801634980.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_388171564019.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_167573857058.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198253378909.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267323019982.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397657323730.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_277617949886.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177276901377.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177276907744.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_157732776331.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_358320672930.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226658806201.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227233458128.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227130577463.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_257366818039.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_155352528185.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_114767995996.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287238610650.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227217267253.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227269211392.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_388604293335.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_178011229768.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366218556155.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267275703211.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_298089659049.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_388171504824.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366313176851.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_387970384147.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389797126582.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_397185017022.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177793869647.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_325196611589.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287225471327.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147093148292.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147085417137.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_147085410484.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267575863282.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_336496727322.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_187605698987.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_387897631078.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_387748580343.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_306830356074.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226757287235.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226577167122.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226577173853.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366280493785.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_298121134354.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198133833009.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287210387114.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227130579979.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_267608333435.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_206136113460.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227004275261.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_198187330212.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226556300458.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_135992771145.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_287196126479.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_206047733750.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_227185168551.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_226971202604.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389703837888.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_387932584905.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_387932593559.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_206118875974.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_389447358766.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_406747715309.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_387894524493.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_177885179172.webp,3,1.0,1.0,1.0,1.0
data\raw_slabs\ebay_366253163058.webp,3,1.0,1.0,1.0,1.0
